,Item,Quantity,Cost (USD),Purchase Link
,Hose Barb,1,6.39,https://www.amazon.com/HARFINGTON-Fitting-Splicer-Printing-Compressor/dp/B0FKMMKW9S?crid=12YS15U0M2ARQ&dib=eyJ2IjoiMSJ9.Thw2ElUhqm7mh-8iUXlG6TS1sp13iFQ2Y1emmAo60uonJ1gdvnSVHXAtH7Yi-K8df9tPeLSJoU_1eO483Ml3nrnELJbtkdB9kKkEFyxieFM64lx_UDZ_8ue1BI3nDsQZ0imNVEtciUn50v6xMhuJ2bEygw7aTCyzD5oll_KAjgUbTeBnHoBcHPgP2U8mrjdJlDlgCIYwSs3B3QkQ5dO_UXBntEfwrCc40VRBemIpO0bSTNdqglJzhgGcsvzjBg15LEHqjPt8PYlhG8Jjrfabt8THkbR9LUj-CUaS9t85wf0.bh3uFqYGu955uCADyZAJpjec4cMqKXbwgEAwaIsPKFU&dib_tag=se&keywords=4mm%2Bid%2Bpipe%2Bmale&qid=1785814224&s=industrial&sprefix=4mm%2Bid%2Bpipe%2Bmale%2Cindustrial%2C186&sr=1-9&th=1
,M4 Heat Set,1,5.99,https://www.amazon.com/Aoserge-100Pcs-Brass-Heat-Inserts/dp/B0FM3XZZ56?crid=S8YKHG917Z9F&dib=eyJ2IjoiMSJ9.toCK1asWOh0JfCOtRQp-JHQvJe73DUGKQW6wabjouvQ7blVr6Ocdvs4-JVpcJQqyHYg4v3drR1PFIpMffTMWMZC-slq4xZeRvi8ZGnMAqxJHGYCgdkRTO07-OU5s1e5ne_wdCK4sssOHJX_xhezLLXi4EzKJlXsX6y82Z6meEpDBOd8LhabC_y0Dc2KZ35Nl_njh8aRw7IHa299O7iQGWepzlFDUQcvRA2IsT3zicSjZa2TmhZjZQRX2SmxgUnZaO60EeN79XnNmebLfSBRmYC0UfIeEL0YJBTdfP9Ccy-Q.dcU3e1B4gLEOtwsK3eJHt4B0Wgfn-qlEQMygfLGrET0&dib_tag=se&keywords=m4%2Bheat%2Bset%2Binsert&qid=1785814280&s=industrial&sprefix=m4%2Bheat%2Bset%2Binser%2Cindustrial%2C160&sr=1-14&th=1
,Servo  Bellows,1,8.99,https://www.amazon.com/10Pcs-Waterproof-Push-Rubber-Bellow/dp/B0749L64KJ?dib=eyJ2IjoiMSJ9.JoJXMXZiJP026esRSwrqZ51FHBoET7WU-w-s718mrJZQNOayZCukGZPVdG_Nr432uUbX-w7_f0kbE3AkApj6Y_tZMs46cjuee1jwCIfFv2LuhWunZukKgAmhRi9BCT3_Msahl56MmmM3pA52GmxgVaJJ4t0cRHAkOfbSWXnF5Ktz90I0LQ5Fc3OcLuKsTlG8Ne4jNeQBDYDG5MPd_fMobYveuQMqoVRfPPzPuyrP2h0.A6LM597LBVup0HyKooGQz0B6zkQFsvXoIcjtvJZ1rOw&dib_tag=se&keywords=push+rod+bellow&qid=1785971866&sr=8-5#averageCustomerReviewsAnchor
,Syringe,1,9.99,https://www.amazon.com/Syringe-Without-Needle-Plastic-Syringes/dp/B0C39RWFJZ?crid=M7J23OTXWK78&dib=eyJ2IjoiMSJ9.npFgHOAQZNplnthBQ7Qs01uuOIb3ACUWLUKwdgQmrgtKQlyjOHWykrr9-8bepeA3Q0_gdgbY9CxINPxTgE6OTZfLeLL0iupixyJCBHJJ8IKpWiHkZCdbayHTDJGiqW0QVL32Rtpi7RvzhNVvguC9bXTO2OZZ6FHKKNEOhKTzuC9WGWwSMyNnV0DZDFC_VnfA9gVGdrmCsDhYV3gvtG82TD1HhGes9ost6SA_kv00aQ0.P6KmmDQ4vKkAeZVOkqPPnP1j4cMDa0rcC49Nwh6pshc&dib_tag=se&keywords=syringe%2B250ml&qid=1785974869&sprefix=syringe%2B250ml%2Caps%2C379&sr=8-15&th=1
,4in PVC Pipe O-Ring,1,10.27,https://www.amazon.com/240-Buna-N-Ring-Durometer-Round/dp/B0051XXMXI?crid=ZURM1B9T78UL&dib=eyJ2IjoiMSJ9.F6VV-SPt5eevwrP96zCBrY_megF5otxa9tRvVROfrMSwqR7IkgO6HcZAPMiZBTpvNpHB5OYZPsr4zPFAOxqPb5kvek-SaI3Pf8UN7GU01V-Zz9sKrRJvA23a8M8vPYAzkzMK3hpwIFLHo_jc_cjHsqMXhzxkKsfIFIUBDdGzZOyPv5cf4gpLXzceryIFvGRP3e0dWOc-Ooj2x4mCC8LU-5Z_3p3CijKXeH9m1xBSJF0.ZbdeZ8FKmY11bxkE95DZ56IITMg1nmTNv8lylPYApbw&dib_tag=se&keywords=4in%2Bod%2Bo%2Bring&qid=1785975026&sprefix=4in%2Bo%2Bo%2Bring%2Caps%2C267&sr=8-4&th=1
,3in PVC Pipe O-Ring,1,6.99,https://www.amazon.com/uxcell-Nitrile-Automotive-Plumbing-Durometer/dp/B0FNMJNDVR?crid=2PIQDUAQ5WVAF&dib=eyJ2IjoiMSJ9.NFYc9e_hmhlwDk4V7fW_mBFeouZX7Dcd1dn6ZBzcwTZm0zW0qIkXVEXyieDFAisT7KmsiMzMyDYiRh0ntIZaO72IpWlDaMgmTdn-TVFpO6mxTqIqr5CX6Vm2M73KSoNSl0QnNRg8MnfA0qFi57t1JPZdVT75rrf7HPWpW-BiNGa2HVNtYcG66p5cIKFaoTpwQHX2sWiWhrSqvGiT7YyfOoRUMFEpzEz9EYgXFAIXjW0.WBGq1VtpZFfkV_x-jCopS1mDAAN_I2EhT93bWstfoiE&dib_tag=se&keywords=3in%2Bod%2Bo%2Bring&qid=1785975198&sprefix=in%2Bod%2Bo%2Bring%2Caps%2C263&sr=8-4&th=1
,Lead Screws,1,10.04,https://www.aliexpress.us/item/3256805576723890.html?spm=a2g0o.productlist.main.3.3d097193A6hMdh&algo_pvid=68343a38-7339-446f-91e2-b11615f2955c&algo_exp_id=68343a38-7339-446f-91e2-b11615f2955c-2&pdp_ext_f=%7B%22order%22%3A%221208%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.63%210.99%21%21%215.63%210.99%21%4021033b3317862116457207369e0ca2%2112000034263883419%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ac2c1a869%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792482&curPageLogUid=5QVhb0SJgDWp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005763038642%7C_p_origin_prod%3A
,Galvinzed Wire,1,7.28,https://www.amazon.com/Hillman-Galvanized-Solid-Utility-Silver/dp/B00FX982K8?crid=KXACLBAR1Z1A&dib=eyJ2IjoiMSJ9.HQhUMY4b7liav0NJE6BcJCzOcc6N6iRHkqw3suiV3tDZd7A4QVTeWqW90OTv_pLmmdg0fUbxoWa__lLn9m96hOLphV8OvseH8SF8pO2BIP0HOnSueg8mquOo7yRKrZBjFMNuO4iu2OmbicDeFqTRxcyi-mjy9zCgzDTlWJomidIXg2wg_AM_TyaSnCJFHXaois1-tG1Xwav1BBHgfDFklszg21BhMElCgjhg3rGU2wU.9HTnykQ2OvGTQkq6h8fYKzmUwIfsfJQERGJfCO9maw0&dib_tag=se&keywords=galvanized%2Bwire&qid=1787462884&sprefix=galvinized%2Bwir%2Caps%2C253&sr=8-5&th=1
,,,,
,Shipping:,,,
,Aliexpress,,9.58,
,Underwater Thruster,,19,
,Digikey,,6.65,
,Adafruit,,6.52,
,Homedepot,,0,
,Amazon,,0,
,,,,
,Total (pre ship),,538.75,
,Total (post shipping),,580.5,
